name,GISAID ID,country,travel history,sample date,epiweek,lineage,representative
USA/WA-S86/2020,EPI_ISL_417139,USA,,2020-03-01,10.0,A.1,0
USA/WA-S83/2020,EPI_ISL_417136,USA,,2020-03-05,10.0,A.1,0
Australia/VIC83/2020,EPI_ISL_419799,Australia,,2020-03-14,11.0,B.2,1
Australia/VIC88/2020,EPI_ISL_419798,Australia,,2020-03-15,12.0,B.2.1,0
England/20142062904/2020,EPI_ISL_420775,UK,,2020-03-30,14.0,B.1.20,1
England/20142062604/2020,EPI_ISL_420774,UK,,2020-03-28,13.0,B.1,0
England/20142063404/2020,EPI_ISL_420777,UK,,2020-03-27,13.0,B.1.11,0
England/20142063004/2020,EPI_ISL_420776,UK,,2020-03-27,13.0,B.1,0
USA/WA-S110/2020,EPI_ISL_417163,USA,,2020-03-05,10.0,A.1,0
USA/WA-S114/2020,EPI_ISL_417167,USA,,2020-03-05,10.0,A.1,0
USA/WA-S115/2020,EPI_ISL_417168,USA,,2020-02-29,9.0,A.1,0
USA/WA-S112/2020,EPI_ISL_417165,USA,,2020-03-08,11.0,A.1,0
USA/WA-S113/2020,EPI_ISL_417166,USA,,2020-02-29,9.0,A.1,0
USA/WA-S107/2020,EPI_ISL_417160,USA,,2020-02-29,9.0,A.1,0
USA/WA-S97/2020,EPI_ISL_417150,USA,,2020-02-28,9.0,A.1,0
USA/WA-S104/2020,EPI_ISL_417157,USA,,2020-03-05,10.0,A.1,0
USA/WA-S106/2020,EPI_ISL_417159,USA,,2020-02-29,9.0,A.1,0
USA/TX_2817/2020,EPI_ISL_420797,USA,,2020-03-01,10.0,B.1,0
USA/TX_2039/2020,EPI_ISL_420796,USA,,2020-02-29,9.0,B,1
Korea/BA-ACH_2604/2020,EPI_ISL_420799,South_Korea,,2020-02-27,9.0,B.2,1
USA/TX_2967/2020,EPI_ISL_420798,USA,,2020-03-01,10.0,B.1,0
Hong_Kong/HKPU28_3001/2020,EPI_ISL_417185,Hong_Kong,,2020-02-09,7.0,B,0
South_Africa/R03006-20/2020,EPI_ISL_417186,South_Africa,,2020-03-07,10.0,B.1,0
Hong_Kong/HKPU23_2601/2020,EPI_ISL_417183,Hong_Kong,,2020-01-30,5.0,B.7,0
Hong_Kong/HKPU27_3001/2020,EPI_ISL_417184,Hong_Kong,,2020-02-08,6.0,B.7,0
Hong_Kong/HKPU29_0102/2020,EPI_ISL_417187,Hong_Kong,,2020-02-08,6.0,B.7,1
Hong_Kong/HKPU30_2901/2020,EPI_ISL_417188,Hong_Kong,,2020-02-08,6.0,B.7,1
Hong_Kong/HKPU19_0402/2020,EPI_ISL_417181,Hong_Kong,,2020-02-05,6.0,B,0
Hong_Kong/HKPU20_3001/2020,EPI_ISL_417182,Hong_Kong,,2020-02-05,6.0,B,0
Hong_Kong/HKPU17_2201/2020,EPI_ISL_417180,Hong_Kong,,2020-02-03,6.0,B,0
Australia/NT12/2020,EPI_ISL_426900,Australia,,2020-03-25,13.0,B.1,0
Australia/NT13/2020,EPI_ISL_426901,Australia,,2020-03-25,13.0,B.1,0
Australia/NT14/2020,EPI_ISL_426902,Australia,,2020-03-26,13.0,B.2.1,0
USA/WA-S119/2020,EPI_ISL_417172,USA,,2020-02-29,9.0,A.1,0
Australia/NT16/2020,EPI_ISL_426903,Australia,,2020-03-24,13.0,B.1.8,0
Australia/NT17/2020,EPI_ISL_426904,Australia,,2020-03-24,13.0,B.1.8,0
Hong_Kong/HKPU6_2101/2020,EPI_ISL_417178,Hong_Kong,,2020-01-25,4.0,B,0
Australia/VIC390/2020,EPI_ISL_426905,Australia,,2020-03-23,13.0,B.6,0
Australia/VIC473/2020,EPI_ISL_426906,Australia,,2020-03-28,13.0,B.1,0
Hong_Kong/HKPU1_2101/2020,EPI_ISL_417176,Hong_Kong,,2020-01-21,4.0,A,1
Australia/VIC475/2020,EPI_ISL_426907,Australia,,2020-03-28,13.0,B.1.23,1
Hong_Kong/HKPU2_1801/2020,EPI_ISL_417177,Hong_Kong,,2020-01-23,4.0,B,0
Australia/VIC476/2020,EPI_ISL_426908,Australia,,2020-03-28,13.0,B.1.23,1
Australia/VIC477/2020,EPI_ISL_426909,Australia,,2020-03-28,13.0,B.1.23,0
Australia/VIC478/2020,EPI_ISL_426910,Australia,,2020-03-28,13.0,B.1.23,0
Australia/VIC479/2020,EPI_ISL_426911,Australia,,2020-03-28,13.0,B.1.23,0
Australia/NSW14/2020,EPI_ISL_413600,Australia,,2020-03-03,10.0,B.4,1
USA/WA13-UW9/2020,EPI_ISL_413601,USA,,2020-03-02,10.0,A.1,0
USA/MN29-MDH29/2020,EPI_ISL_417196,USA,,2020-03-11,11.0,B.1,0
Hong_Kong/HKPU34_3001/2020,EPI_ISL_417197,Hong_Kong,,2020-02-09,7.0,B.7,1
USA/MN26-MDH26/2020,EPI_ISL_417194,USA,,2020-03-12,11.0,A.1,1
Hong_Kong/HKPU33_0202/2020,EPI_ISL_417195,Hong_Kong,,2020-02-09,7.0,B.7,0
USA/MN30-MDH30/2020,EPI_ISL_417198,USA,,2020-03-12,11.0,B.1,0
Hong_Kong/HKPU35_0402/2020,EPI_ISL_417199,Hong_Kong,,2020-02-09,7.0,B.7,0
USA/MN25-MDH25/2020,EPI_ISL_417192,USA,,2020-03-12,11.0,B.1,0
Hong_Kong/HKPU32_0402/2020,EPI_ISL_417193,Hong_Kong,,2020-02-09,7.0,B.7,0
Hong_Kong/HKPU_2801/2020,EPI_ISL_417190,Hong_Kong,,2020-02-08,6.0,B.7,0
USA/MN5-MDH5/2020,EPI_ISL_417191,USA,,2020-03-10,11.0,B.1,0
Australia/VIC107/2020,EPI_ISL_419720,Australia,,2020-03-17,12.0,B.1,0
Australia/VIC122/2020,EPI_ISL_419724,Australia,,2020-03-20,12.0,B.1,0
Australia/VIC121/2020,EPI_ISL_419723,Australia,,2020-03-18,12.0,B.2.2,1
Australia/VIC120/2020,EPI_ISL_419722,Australia,,2020-03-19,12.0,B.2.2,0
Australia/VIC116/2020,EPI_ISL_419721,Australia,,2020-03-19,12.0,B.2.1,0
Australia/VIC126/2020,EPI_ISL_419728,Australia,,2020-03-20,12.0,A.2,1
Australia/VIC117/2020,EPI_ISL_419727,Australia,,2020-03-19,12.0,A.3,0
Australia/VIC119/2020,EPI_ISL_419726,Australia,,2020-03-19,12.0,B.1,0
Australia/VIC114/2020,EPI_ISL_419725,Australia,,2020-03-18,12.0,B.1.5,1
England/20139053804/2020,EPI_ISL_420709,UK,,2020-03-28,13.0,B.1.13,1
Australia/VIC118/2020,EPI_ISL_419719,Australia,,2020-03-20,12.0,A.1,0
Australia/VIC109/2020,EPI_ISL_419718,Australia,,2020-03-18,12.0,B.1,0
England/20139053004/2020,EPI_ISL_420706,UK,,2020-03-28,13.0,B.1,0
England/20139052904/2020,EPI_ISL_420705,UK,,2020-03-28,13.0,B.2,0
England/20139053504/2020,EPI_ISL_420708,UK,,2020-03-28,13.0,B.2.1,0
England/20139053304/2020,EPI_ISL_420707,UK,,2020-03-28,13.0,B.1,0
England/20139051704/2020,EPI_ISL_420702,UK,,2020-03-27,13.0,B.1,0
England/20139051304/2020,EPI_ISL_420701,UK,,2020-03-27,13.0,B.2.1,0
England/20139052704/2020,EPI_ISL_420704,UK,,2020-03-28,13.0,B.1,0
England/20139051004/2020,EPI_ISL_420700,UK,,2020-03-27,13.0,B.1,0
USA/VA-DCLS-0021/2020,EPI_ISL_419713,USA,,2020-03-11,11.0,A,1
USA/VA-DCLS-0020/2020,EPI_ISL_419712,USA,,2020-03-10,11.0,B.1,0
USA/VA-DCLS-0016/2020,EPI_ISL_419710,USA,,2020-03-12,11.0,B.1,0
Australia/VIC115/2020,EPI_ISL_419717,Australia,,2020-03-19,12.0,A.1,0
Australia/VIC110/2020,EPI_ISL_419716,Australia,,2020-03-18,12.0,A.1,0
Australia/VIC111/2020,EPI_ISL_419715,Australia,,2020-03-18,12.0,A.1,0
Australia/VIC108/2020,EPI_ISL_419714,Australia,,2020-03-18,12.0,A.3,0
Spain/PaisVasco201602/2020,EPI_ISL_419709,Spain,,2020-03-04,10.0,A.2,1
USA/VA-DCLS-0014/2020,EPI_ISL_419708,USA,,2020-03-12,11.0,B.1,0
Finland/14M82/2020,EPI_ISL_418411,Finland,,2020-03-14,11.0,B,1
Australia/VIC22/2020,EPI_ISL_419742,Australia,,2020-03-09,11.0,B.1,0
Finland/14M77/2020,EPI_ISL_418410,Finland,,2020-03-14,11.0,B.1.5,0
Australia/VIC20/2020,EPI_ISL_419741,Australia,,2020-03-08,11.0,A.1,0
Australia/VIC21/2020,EPI_ISL_419740,Australia,,2020-03-09,11.0,B.2.1,0
France/ARA09451/2020,EPI_ISL_418415,France,,2020-03-15,12.0,B.1,0
Australia/VIC27/2020,EPI_ISL_419746,Australia,,2020-03-10,11.0,A.3,0
France/ARA09434/2020,EPI_ISL_418414,France,,2020-03-15,12.0,B.1,0
Australia/VIC26/2020,EPI_ISL_419745,Australia,,2020-03-10,11.0,B.3,1
France/ARA09428/2020,EPI_ISL_418413,France,,2020-03-15,12.0,B.1,0
Australia/VIC25/2020,EPI_ISL_419744,Australia,,2020-03-10,11.0,B.2.2,0
France/ARA094100/2020,EPI_ISL_418412,France,,2020-03-15,12.0,B.1,0
Australia/VIC23/2020,EPI_ISL_419743,Australia,,2020-03-09,11.0,B.2.1,0
France/ARA10165/2020,EPI_ISL_418419,France,,2020-03-16,12.0,B.1,0
France/ARA10163/2020,EPI_ISL_418418,France,,2020-03-16,12.0,B.1,0
Australia/VIC30/2020,EPI_ISL_419749,Australia,,2020-03-10,11.0,B.4,1
France/ARA09686/2020,EPI_ISL_418417,France,,2020-03-16,12.0,B.1,0
Australia/VIC29/2020,EPI_ISL_419748,Australia,,2020-03-10,11.0,B.1,0
France/ARA09588/2020,EPI_ISL_418416,France,,2020-03-16,12.0,B.1,0
Australia/VIC28/2020,EPI_ISL_419747,Australia,,2020-03-10,11.0,A.3,0
Finland/14M74/2020,EPI_ISL_418409,Finland,,2020-03-14,11.0,B.3,0
England/20139059504/2020,EPI_ISL_420728,UK,,2020-03-28,13.0,B.2.1,0
England/20139059004/2020,EPI_ISL_420727,UK,,2020-03-28,13.0,B.1.13,1
England/20139059804/2020,EPI_ISL_420729,UK,,2020-03-28,13.0,B.2,0
England/20139058304/2020,EPI_ISL_420724,UK,,2020-03-27,13.0,B.1.13,1
England/20139058104/2020,EPI_ISL_420723,UK,,2020-03-28,13.0,B.1.1,1
England/20139058604/2020,EPI_ISL_420726,UK,,2020-03-27,13.0,B.3,0
England/20139058404/2020,EPI_ISL_420725,UK,,2020-03-28,13.0,B.1,0
England/20139057504/2020,EPI_ISL_420720,UK,,2020-03-28,13.0,B.2.1,0
England/20139057704/2020,EPI_ISL_420722,UK,,2020-03-28,13.0,B.1,0
England/20139057604/2020,EPI_ISL_420721,UK,,2020-03-28,13.0,B.1,0
Finland/13M83/2020,EPI_ISL_418400,Finland,,2020-03-13,11.0,B.1,0
Australia/VIC123/2020,EPI_ISL_419731,Australia,,2020-03-20,12.0,B.1,0
Australia/VIC128/2020,EPI_ISL_419730,Australia,,2020-03-20,12.0,B.1,0
Finland/14M16/2020,EPI_ISL_418404,Finland,,2020-03-14,11.0,B.1,0
Finland/14M14/2020,EPI_ISL_418403,Finland,,2020-03-14,11.0,B.1,0
Australia/VIC14/2020,EPI_ISL_419734,Australia,,2020-02-02,6.0,B,0
Finland/14M13/2020,EPI_ISL_418402,Finland,,2020-03-14,11.0,B.1,0
Australia/VIC13/2020,EPI_ISL_419733,Australia,,2020-01-31,5.0,A,0
Finland/14M12/2020,EPI_ISL_418401,Finland,,2020-03-14,11.0,B.1,0
Australia/VIC129/2020,EPI_ISL_419732,Australia,,2020-03-21,12.0,B,0
Finland/14M32/2020,EPI_ISL_418408,Finland,,2020-03-14,11.0,B.1,0
Australia/VIC24/2020,EPI_ISL_419739,Australia,,2020-03-09,11.0,A.1,0
Finland/14M3/2020,EPI_ISL_418407,Finland,,2020-03-14,11.0,B.1,0
Australia/VIC19/2020,EPI_ISL_419738,Australia,,2020-03-08,11.0,B.2.2,0
Finland/14M26/2020,EPI_ISL_418406,Finland,,2020-03-14,11.0,B.1,0
Australia/VIC18/2020,EPI_ISL_419737,Australia,,2020-03-07,10.0,B.2.1,0
Finland/14M20/2020,EPI_ISL_418405,Finland,,2020-03-14,11.0,B.2.1,0
Australia/VIC17/2020,EPI_ISL_419736,Australia,,2020-03-07,10.0,A.3,0
Australia/VIC127/2020,EPI_ISL_419729,Australia,,2020-03-20,12.0,B.2.1,0
England/20139057004/2020,EPI_ISL_420717,UK,,2020-03-26,13.0,B.1,0
England/20139056904/2020,EPI_ISL_420716,UK,,2020-03-26,13.0,B.1,0
England/20139057404/2020,EPI_ISL_420719,UK,,2020-03-27,13.0,B.1,0
England/20139057204/2020,EPI_ISL_420718,UK,,2020-03-27,13.0,B.2.1,0
England/20139054904/2020,EPI_ISL_420713,UK,,2020-03-27,13.0,B.1,0
England/20139054704/2020,EPI_ISL_420712,UK,,2020-03-27,13.0,B.1,0
England/20139055304/2020,EPI_ISL_420715,UK,,2020-03-29,14.0,B.1,0
England/20139055204/2020,EPI_ISL_420714,UK,,2020-03-28,13.0,B.1,0
England/20139054504/2020,EPI_ISL_420711,UK,,2020-03-28,13.0,B.1,0
England/20139054004/2020,EPI_ISL_420710,UK,,2020-03-27,13.0,B.1,0
Australia/VIC41/2020,EPI_ISL_419760,Australia,,2020-03-11,11.0,A.1.2,1
England/20140038704/2020,EPI_ISL_420751,UK,,2020-03-30,14.0,B.1,0
England/20140038604/2020,EPI_ISL_420750,UK,,2020-03-23,13.0,B.1,0
USA/WA-S48/2020,EPI_ISL_417101,USA,,2020-02-29,9.0,A.1,0
Switzerland/42177236/2020,EPI_ISL_418433,Switzerland,,2020-03-05,10.0,B.1,0
Australia/VIC49/2020,EPI_ISL_419764,Australia,,2020-03-12,11.0,B.1,0
USA/WA-S49/2020,EPI_ISL_417102,USA,,2020-03-04,10.0,A.1,0
France/ARA11036/2020,EPI_ISL_418432,France,,2020-03-18,12.0,B.2,1
Australia/VIC43/2020,EPI_ISL_419763,Australia,,2020-03-11,11.0,B.1,0
France/ARA10968/2020,EPI_ISL_418431,France,,2020-03-18,12.0,B.1,0
Australia/VIC48/2020,EPI_ISL_419762,Australia,,2020-03-12,11.0,B.1,0
USA/WA-S47/2020,EPI_ISL_417100,USA,,2020-02-29,9.0,A.1,0
France/ARA10910/2020,EPI_ISL_418430,France,,2020-03-18,12.0,B.1,0
Australia/VIC42/2020,EPI_ISL_419761,Australia,,2020-03-11,11.0,B.6,1
Switzerland/42178712/2020,EPI_ISL_418437,Switzerland,,2020-03-06,10.0,B.1,0
Australia/VIC52/2020,EPI_ISL_419768,Australia,,2020-03-12,11.0,B.1,0
Switzerland/42177472/2020,EPI_ISL_418436,Switzerland,,2020-03-05,10.0,B.1,0
Australia/VIC44/2020,EPI_ISL_419767,Australia,,2020-03-11,11.0,B.1,0
USA/WA-S50/2020,EPI_ISL_417103,USA,,2020-03-05,10.0,A.1,0
Switzerland/42177434/2020,EPI_ISL_418435,Switzerland,,2020-03-05,10.0,B.1,0
Australia/VIC50/2020,EPI_ISL_419766,Australia,,2020-03-12,11.0,B.1,0
Switzerland/42177430/2020,EPI_ISL_418434,Switzerland,,2020-03-05,10.0,B.1,0
Australia/VIC36/2020,EPI_ISL_419765,Australia,,2020-03-10,11.0,B.2,0
USA/WA-S54/2020,EPI_ISL_417107,USA,,2020-03-05,10.0,A.1,0
Switzerland/42202619/2020,EPI_ISL_418439,Switzerland,,2020-03-22,13.0,B.1,0
USA/WA-S55/2020,EPI_ISL_417108,USA,,2020-02-29,9.0,A.1,0
Switzerland/42202622/2020,EPI_ISL_418438,Switzerland,,2020-03-22,13.0,B.1,0
Australia/VIC53/2020,EPI_ISL_419769,Australia,,2020-03-12,11.0,A.3,0
England/20140037504/2020,EPI_ISL_420749,UK,,2020-03-25,13.0,B.1,0
England/20139063604/2020,EPI_ISL_420746,UK,,2020-03-25,13.0,B.2.1,0
England/20139063504/2020,EPI_ISL_420745,UK,,2020-03-28,13.0,B.1,0
England/20139063804/2020,EPI_ISL_420748,UK,,2020-03-28,13.0,B.2.1,0
England/20139063704/2020,EPI_ISL_420747,UK,,2020-03-28,13.0,B.2.1,0
England/20139062704/2020,EPI_ISL_420742,UK,,2020-03-28,13.0,B.1,0
England/20139062504/2020,EPI_ISL_420741,UK,,2020-03-27,13.0,B.1,0
England/20139063204/2020,EPI_ISL_420744,UK,,2020-03-28,13.0,B.1,0
England/20139062804/2020,EPI_ISL_420743,UK,,2020-03-27,13.0,B.2,0
England/20139062304/2020,EPI_ISL_420740,UK,,2020-03-27,13.0,B.1,0
France/ARA10184/2020,EPI_ISL_418422,France,,2020-03-17,12.0,B.1,0
Australia/VIC34/2020,EPI_ISL_419753,Australia,,2020-03-10,11.0,B.4,0
France/ARA10172/2020,EPI_ISL_418421,France,,2020-03-17,12.0,B.1,0
Australia/VIC33/2020,EPI_ISL_419752,Australia,,2020-03-10,11.0,A.3,0
France/ARA10170/2020,EPI_ISL_418420,France,,2020-03-17,12.0,B.1,0
Australia/VIC32/2020,EPI_ISL_419751,Australia,,2020-03-10,11.0,A.3,0
Australia/VIC31/2020,EPI_ISL_419750,Australia,,2020-03-10,11.0,B.1,0
France/ARA10251/2020,EPI_ISL_418426,France,,2020-03-17,12.0,B.1,0
Australia/VIC39/2020,EPI_ISL_419757,Australia,,2020-03-11,11.0,B.1,0
France/ARA10192/2020,EPI_ISL_418425,France,,2020-03-17,12.0,B.1,0
Australia/VIC38/2020,EPI_ISL_419756,Australia,,2020-03-11,11.0,B.1.6,1
France/ARA10189/2020,EPI_ISL_418424,France,,2020-03-17,12.0,B.1,0
Australia/VIC35/2020,EPI_ISL_419755,Australia,,2020-03-10,11.0,A.3,0
France/ARA10188/2020,EPI_ISL_418423,France,,2020-03-17,12.0,B.1,0
Australia/VIC37/2020,EPI_ISL_419754,Australia,,2020-03-11,11.0,B.1,0
France/ARA10876/2020,EPI_ISL_418429,France,,2020-03-18,12.0,B.1,0
France/ARA10282/2020,EPI_ISL_418428,France,,2020-03-17,12.0,B.1,0
Australia/VIC47/2020,EPI_ISL_419759,Australia,,2020-03-12,11.0,B.2.1,0
France/ARA10257/2020,EPI_ISL_418427,France,,2020-03-17,12.0,B.1,0
Australia/VIC40/2020,EPI_ISL_419758,Australia,,2020-03-11,11.0,A.1.2,1
England/20139062204/2020,EPI_ISL_420739,UK,,2020-03-27,13.0,B.1,0
England/20139062104/2020,EPI_ISL_420738,UK,,2020-03-27,13.0,B.1,0
England/20139061104/2020,EPI_ISL_420735,UK,,2020-03-27,13.0,B.2.1,0
England/20139060804/2020,EPI_ISL_420734,UK,,2020-03-27,13.0,B.1,0
England/20139061704/2020,EPI_ISL_420736,UK,,2020-03-29,14.0,B.1,0
England/20139060004/2020,EPI_ISL_420731,UK,,2020-03-28,13.0,B.2.1,0
England/20139059904/2020,EPI_ISL_420730,UK,,2020-03-27,13.0,B.1,0
England/20139060504/2020,EPI_ISL_420733,UK,,2020-03-28,13.0,B.1,0
England/20139060404/2020,EPI_ISL_420732,UK,,2020-03-28,13.0,B.1,0
Australia/VIC68/2020,EPI_ISL_419782,Australia,,2020-03-13,11.0,A.1,0
England/20142061404/2020,EPI_ISL_420771,UK,,2020-03-27,13.0,B.3,0
USA/WA-S67/2020,EPI_ISL_417120,USA,,2020-03-04,10.0,A.1,0
Australia/VIC67/2020,EPI_ISL_419781,Australia,,2020-03-13,11.0,A.1,0
England/20142061304/2020,EPI_ISL_420770,UK,,2020-03-27,13.0,B.1.1,0
Australia/VIC66/2020,EPI_ISL_419780,Australia,,2020-03-13,11.0,B.4,0
England/20142062204/2020,EPI_ISL_420773,UK,,2020-03-30,14.0,B.1,0
England/20142061804/2020,EPI_ISL_420772,UK,,2020-03-30,14.0,B.1.11,1
USA/WA-S70/2020,EPI_ISL_417123,USA,,2020-03-05,10.0,A.1,0
Australia/VIC70/2020,EPI_ISL_419786,Australia,,2020-03-13,11.0,B.2,0
Australia/VIC73/2020,EPI_ISL_419785,Australia,,2020-03-14,11.0,A.3,0
USA/WA-S68/2020,EPI_ISL_417121,USA,,2020-03-04,10.0,A.1,0
Australia/VIC58/2020,EPI_ISL_419784,Australia,,2020-03-12,11.0,B.4,0
Australia/VIC69/2020,EPI_ISL_419783,Australia,,2020-03-13,11.0,A.1,0
Australia/VIC77/2020,EPI_ISL_419789,Australia,,2020-03-14,11.0,A.3,0
Australia/VIC76/2020,EPI_ISL_419788,Australia,,2020-03-14,11.0,A.3,0
USA/WA-S73/2020,EPI_ISL_417126,USA,,2020-03-05,10.0,A.1,0
Australia/VIC75/2020,EPI_ISL_419787,Australia,,2020-03-14,11.0,B.1,0
USA/WA-S76/2020,EPI_ISL_417129,USA,,2020-03-05,10.0,A.1,0
England/20142060904/2020,EPI_ISL_420768,UK,,2020-03-27,13.0,B.1.1,0
England/20142060804/2020,EPI_ISL_420767,UK,,2020-03-30,14.0,B.1,0
England/20142061004/2020,EPI_ISL_420769,UK,,2020-03-31,14.0,B.1,0
England/20140050604/2020,EPI_ISL_420764,UK,,2020-03-26,13.0,B.1,0
England/20140048904/2020,EPI_ISL_420763,UK,,2020-03-25,13.0,B.1,0
England/20142060404/2020,EPI_ISL_420766,UK,,2020-03-27,13.0,B.2.5,1
England/20142022504/2020,EPI_ISL_420765,UK,,2020-03-27,13.0,B.3,0
Switzerland/42202805/2020,EPI_ISL_418440,Switzerland,,2020-03-20,12.0,B.1,0
Australia/VIC59/2020,EPI_ISL_419771,Australia,,2020-03-13,11.0,B.6,1
England/20140048104/2020,EPI_ISL_420760,UK,,2020-03-27,13.0,B.1,0
Australia/VIC54/2020,EPI_ISL_419770,Australia,,2020-03-12,11.0,B.1,0
England/20140048804/2020,EPI_ISL_420762,UK,,2020-03-25,13.0,B.1,0
England/20140048704/2020,EPI_ISL_420761,UK,,2020-03-25,13.0,B.1,0
Australia/VIC63/2020,EPI_ISL_419775,Australia,,2020-03-13,11.0,B.1,0
Australia/VIC62/2020,EPI_ISL_419774,Australia,,2020-03-13,11.0,B.1,0
Hangzhou/HZ49/2020,EPI_ISL_418442,China,,2020-01-21,4.0,B,0
Australia/VIC61/2020,EPI_ISL_419773,Australia,,2020-03-13,11.0,B.2,0
USA/WA-S58/2020,EPI_ISL_417111,USA,,2020-03-05,10.0,A.1,0
Hangzhou/HZ48/2020,EPI_ISL_418441,China,,2020-01-21,4.0,B,0
Australia/VIC60/2020,EPI_ISL_419772,Australia,,2020-03-13,11.0,A.5,1
Australia/VIC57/2020,EPI_ISL_419779,Australia,,2020-03-12,11.0,A.1,0
USA/WA-S64/2020,EPI_ISL_417117,USA,,2020-03-03,10.0,A.1,0
Australia/VIC64/2020,EPI_ISL_419778,Australia,,2020-03-13,11.0,B.1,0
Australia/VIC56/2020,EPI_ISL_419777,Australia,,2020-03-12,11.0,A.3,0
USA/WA-S62/2020,EPI_ISL_417115,USA,,2020-03-03,10.0,A.1,0
Australia/VIC55/2020,EPI_ISL_419776,Australia,,2020-03-12,11.0,B.2,0
England/20140039504/2020,EPI_ISL_420757,UK,,2020-03-27,13.0,B.1,0
England/20140039404/2020,EPI_ISL_420756,UK,,2020-03-27,13.0,B.1.5,0
England/20140042004/2020,EPI_ISL_420759,UK,,2020-03-26,13.0,B.1,0
England/20140039604/2020,EPI_ISL_420758,UK,,2020-03-27,13.0,B.1,0
England/20140039104/2020,EPI_ISL_420753,UK,,2020-03-25,13.0,B.1,0
England/20140039004/2020,EPI_ISL_420752,UK,,2020-03-26,13.0,B.1,0
England/20140039304/2020,EPI_ISL_420755,UK,,2020-03-27,13.0,B.1.5,1
England/20140039204/2020,EPI_ISL_420754,UK,,2020-03-27,13.0,B.1.20,0
USA/WA-UW-1741/2020,EPI_ISL_424238,USA,,2020-03-21,12.0,B.1.21,1
England/NOTT-10E5E4/2020,EPI_ISL_425569,UK,,2020-03-23,13.0,B.8,1
USA/WA-UW-1739/2020,EPI_ISL_424237,USA,,2020-03-21,12.0,B.1,0
England/NOTT-10E5D5/2020,EPI_ISL_425568,UK,,2020-03-22,13.0,B.1,0
USA/WA-UW-1732/2020,EPI_ISL_424236,USA,,2020-03-21,12.0,B.1,0
England/NOTT-10E5C6/2020,EPI_ISL_425567,UK,,2020-03-23,13.0,B.1,0
USA/WA-UW-1733/2020,EPI_ISL_424235,USA,,2020-03-21,12.0,B.1.21,1
England/NOTT-10E5B7/2020,EPI_ISL_425566,UK,,2020-03-26,13.0,B.1,0
USA/WA-UW-1722/2020,EPI_ISL_424234,USA,,2020-03-21,12.0,B.1,0
England/NOTT-10E5A8/2020,EPI_ISL_425565,UK,,2020-03-26,13.0,B.1,0
Netherlands/Oisterwijk_1364072/2020,EPI_ISL_413580,Netherlands,,2020-03-02,10.0,B,0
USA/WA-UW-1772/2020,EPI_ISL_424233,USA,,2020-03-21,12.0,B.1.5,1
